# turnike demo_bypass - backend: memory
# date: 2026-07-16T21:58:31Z
# commit: 47ad2c4
# topology: client -> nginx (round-robin, 1 worker) -> gateway-{1,2,3} -> mock; one shared redis
# route: /demo/ fixed_window rate=30 window=1h; identity: X-API-Key: demo-key; requests=150, sequential
# replica gateway-1: 172.21.0.5:8080
# replica gateway-2: 172.21.0.6:8080
# replica gateway-3: 172.21.0.4:8080
# columns: seq|status|x-ratelimit-remaining|upstream
1|200|29|172.21.0.6:8080
2|200|29|172.21.0.4:8080
3|200|29|172.21.0.5:8080
4|200|28|172.21.0.6:8080
5|200|28|172.21.0.4:8080
6|200|28|172.21.0.5:8080
7|200|27|172.21.0.6:8080
8|200|27|172.21.0.4:8080
9|200|27|172.21.0.5:8080
10|200|26|172.21.0.6:8080
11|200|26|172.21.0.4:8080
12|200|26|172.21.0.5:8080
13|200|25|172.21.0.6:8080
14|200|25|172.21.0.4:8080
15|200|25|172.21.0.5:8080
16|200|24|172.21.0.6:8080
17|200|24|172.21.0.4:8080
18|200|24|172.21.0.5:8080
19|200|23|172.21.0.6:8080
20|200|23|172.21.0.4:8080
21|200|23|172.21.0.5:8080
22|200|22|172.21.0.6:8080
23|200|22|172.21.0.4:8080
24|200|22|172.21.0.5:8080
25|200|21|172.21.0.6:8080
26|200|21|172.21.0.4:8080
27|200|21|172.21.0.5:8080
28|200|20|172.21.0.6:8080
29|200|20|172.21.0.4:8080
30|200|20|172.21.0.5:8080
31|200|19|172.21.0.6:8080
32|200|19|172.21.0.4:8080
33|200|19|172.21.0.5:8080
34|200|18|172.21.0.6:8080
35|200|18|172.21.0.4:8080
36|200|18|172.21.0.5:8080
37|200|17|172.21.0.6:8080
38|200|17|172.21.0.4:8080
39|200|17|172.21.0.5:8080
40|200|16|172.21.0.6:8080
41|200|16|172.21.0.4:8080
42|200|16|172.21.0.5:8080
43|200|15|172.21.0.6:8080
44|200|15|172.21.0.4:8080
45|200|15|172.21.0.5:8080
46|200|14|172.21.0.6:8080
47|200|14|172.21.0.4:8080
48|200|14|172.21.0.5:8080
49|200|13|172.21.0.6:8080
50|200|13|172.21.0.4:8080
51|200|13|172.21.0.5:8080
52|200|12|172.21.0.6:8080
53|200|12|172.21.0.4:8080
54|200|12|172.21.0.5:8080
55|200|11|172.21.0.6:8080
56|200|11|172.21.0.4:8080
57|200|11|172.21.0.5:8080
58|200|10|172.21.0.6:8080
59|200|10|172.21.0.4:8080
60|200|10|172.21.0.5:8080
61|200|9|172.21.0.6:8080
62|200|9|172.21.0.4:8080
63|200|9|172.21.0.5:8080
64|200|8|172.21.0.6:8080
65|200|8|172.21.0.4:8080
66|200|8|172.21.0.5:8080
67|200|7|172.21.0.6:8080
68|200|7|172.21.0.4:8080
69|200|7|172.21.0.5:8080
70|200|6|172.21.0.6:8080
71|200|6|172.21.0.4:8080
72|200|6|172.21.0.5:8080
73|200|5|172.21.0.6:8080
74|200|5|172.21.0.4:8080
75|200|5|172.21.0.5:8080
76|200|4|172.21.0.6:8080
77|200|4|172.21.0.4:8080
78|200|4|172.21.0.5:8080
79|200|3|172.21.0.6:8080
80|200|3|172.21.0.4:8080
81|200|3|172.21.0.5:8080
82|200|2|172.21.0.6:8080
83|200|2|172.21.0.4:8080
84|200|2|172.21.0.5:8080
85|200|1|172.21.0.6:8080
86|200|1|172.21.0.4:8080
87|200|1|172.21.0.5:8080
88|200|0|172.21.0.6:8080
89|200|0|172.21.0.4:8080
90|200|0|172.21.0.5:8080
91|429|0|172.21.0.6:8080
92|429|0|172.21.0.4:8080
93|429|0|172.21.0.5:8080
94|429|0|172.21.0.6:8080
95|429|0|172.21.0.4:8080
96|429|0|172.21.0.5:8080
97|429|0|172.21.0.6:8080
98|429|0|172.21.0.4:8080
99|429|0|172.21.0.5:8080
100|429|0|172.21.0.6:8080
101|429|0|172.21.0.4:8080
102|429|0|172.21.0.5:8080
103|429|0|172.21.0.6:8080
104|429|0|172.21.0.4:8080
105|429|0|172.21.0.5:8080
106|429|0|172.21.0.6:8080
107|429|0|172.21.0.4:8080
108|429|0|172.21.0.5:8080
109|429|0|172.21.0.6:8080
110|429|0|172.21.0.4:8080
111|429|0|172.21.0.5:8080
