# turnike demo_bypass - backend: redis
# date: 2026-07-16T21:39:42Z
# commit: 4a14747
# topology: client -> nginx (round-robin, 1 worker) -> gateway-{1,2,3} -> mock; one shared redis
# route: /demo/ fixed_window rate=30 window=1h; identity: X-API-Key: demo-key; requests=150, sequential
# replica gateway-1: 172.21.0.5:8080
# replica gateway-2: 172.21.0.6:8080
# replica gateway-3: 172.21.0.4:8080
# columns: seq|status|x-ratelimit-remaining|upstream
1|200|29|172.21.0.6:8080
2|200|28|172.21.0.4:8080
3|200|27|172.21.0.5:8080
4|200|26|172.21.0.6:8080
5|200|25|172.21.0.4:8080
6|200|24|172.21.0.5:8080
7|200|23|172.21.0.6:8080
8|200|22|172.21.0.4:8080
9|200|21|172.21.0.5:8080
10|200|20|172.21.0.6:8080
11|200|19|172.21.0.4:8080
12|200|18|172.21.0.5:8080
13|200|17|172.21.0.6:8080
14|200|16|172.21.0.4:8080
15|200|15|172.21.0.5:8080
16|200|14|172.21.0.6:8080
17|200|13|172.21.0.4:8080
18|200|12|172.21.0.5:8080
19|200|11|172.21.0.6:8080
20|200|10|172.21.0.4:8080
21|200|9|172.21.0.5:8080
22|200|8|172.21.0.6:8080
23|200|7|172.21.0.4:8080
24|200|6|172.21.0.5:8080
25|200|5|172.21.0.6:8080
26|200|4|172.21.0.4:8080
27|200|3|172.21.0.5:8080
28|200|2|172.21.0.6:8080
29|200|1|172.21.0.4:8080
30|200|0|172.21.0.5:8080
31|429|0|172.21.0.6:8080
32|429|0|172.21.0.4:8080
33|429|0|172.21.0.5:8080
34|429|0|172.21.0.6:8080
35|429|0|172.21.0.4:8080
36|429|0|172.21.0.5:8080
37|429|0|172.21.0.6:8080
38|429|0|172.21.0.4:8080
39|429|0|172.21.0.5:8080
40|429|0|172.21.0.6:8080
41|429|0|172.21.0.4:8080
42|429|0|172.21.0.5:8080
43|429|0|172.21.0.6:8080
44|429|0|172.21.0.4:8080
45|429|0|172.21.0.5:8080
46|429|0|172.21.0.6:8080
47|429|0|172.21.0.4:8080
48|429|0|172.21.0.5:8080
49|429|0|172.21.0.6:8080
50|429|0|172.21.0.4:8080
51|429|0|172.21.0.5:8080
52|429|0|172.21.0.6:8080
53|429|0|172.21.0.4:8080
54|429|0|172.21.0.5:8080
55|429|0|172.21.0.6:8080
56|429|0|172.21.0.4:8080
57|429|0|172.21.0.5:8080
58|429|0|172.21.0.6:8080
59|429|0|172.21.0.4:8080
60|429|0|172.21.0.5:8080
61|429|0|172.21.0.6:8080
62|429|0|172.21.0.4:8080
63|429|0|172.21.0.5:8080
64|429|0|172.21.0.6:8080
65|429|0|172.21.0.4:8080
66|429|0|172.21.0.5:8080
67|429|0|172.21.0.6:8080
68|429|0|172.21.0.4:8080
69|429|0|172.21.0.5:8080
70|429|0|172.21.0.6:8080
71|429|0|172.21.0.4:8080
72|429|0|172.21.0.5:8080
73|429|0|172.21.0.6:8080
74|429|0|172.21.0.4:8080
75|429|0|172.21.0.5:8080
76|429|0|172.21.0.6:8080
